resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.67997,0,0,0,0,1,stim/VC_01.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.800735,0,1,1,1,1,stim/VC_11.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,space,2.224705,left,0.913035,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.734665,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.55014,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.57588,0,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.618845,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.71706,0,5,5,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.66968,0,6,6,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.771475,0,7,7,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.555815,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.53759,0,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.65512,0,10,10,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f4056738318181904984b01,2021-02-24_23h57.58.049,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.58481,1,0,11,2,1,,,,,,,,,,,,,,,,,,,,,,,
