resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,0.907465,0,0,0,0,1,stim/VC_01.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.648295,0,1,1,1,1,stim/VC_11.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,space,1.29776,left,0.64817,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,0.83417,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,left,0.456785,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,0.55686,0,3,3,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,left,0.526505,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,0.535905,0,5,5,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,0.905805,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,1.220845,0,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,0.702795,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5b77869d338a9300015468cf,2021-01-20_18h28.02.840,2_afc_fren,2020.2.3,Win32,60,,,right,0.52171,0,9,9,10,1,,,,,,,,,,,,,,,,,,,,,,,
